City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Pathein,MM,87.12,clear sky,16.7833,94.7333,New Pammawaddy Hotel
12,Itarema,BR,77.54,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
16,Lorengau,PG,84.61,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
18,Santa Rosa,PH,89.58,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
19,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
39,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
47,Port Blair,IN,83.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
53,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
55,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Coahuayana,MX,75.09,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
60,Port Macquarie,AU,75.16,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
72,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
74,Butaritari,KI,81.77,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
78,Bocas Del Toro,PA,77.94,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
80,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
85,Kavieng,PG,85.64,few clouds,-2.5744,150.7967,Nusa Island Retreat
88,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
90,Pangai,TO,77.11,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
94,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
97,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
99,Monkey Hill,KN,78.69,broken clouds,17.3167,-62.7167,St. Kitts Marriott Resort & The Royal Beach Casino
107,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
113,Saint-Philippe,RE,81.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
121,Souillac,MU,82.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
124,Cabo San Lucas,MX,80.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
125,Harper,LR,77.79,light rain,4.375,-7.7169,Screensaver
133,Maragogi,BR,76.48,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
136,Taree,AU,79.07,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
137,Zhuhai,CN,75.97,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
150,Samarai,PG,85.35,clear sky,-10.6167,150.6667,Nuli Sapi
152,Bandarbeyla,SO,81.09,broken clouds,9.4942,50.8122,JABIR HOTEL
161,Victoria,HK,76.24,few clouds,22.2855,114.1577,Mini Hotel Central
165,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
167,Kanodar,IN,87.08,overcast clouds,24.1,72.3833,Ovesh ali hasan
170,Honiara,SB,83.12,broken clouds,-9.4333,159.95,Heritage Park Hotel
176,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
182,Fare,PF,78.91,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
191,Kuntaur,GM,76.71,scattered clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
193,Sao Miguel,BR,79.12,scattered clouds,-5.4667,-35.3667,Maracajaú Reef
197,Phan Thiet,VN,86.76,scattered clouds,10.9333,108.1,Hotel Saigon-PT
200,Gympie,AU,77.04,overcast clouds,-26.1898,152.665,Mary River Motor Inn
210,Vasai,IN,89.69,scattered clouds,19.47,72.8,Go Firne
215,Sibolga,ID,78.73,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
216,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
218,Nawabganj,BD,81.34,broken clouds,24.5911,88.271,দা সফ্‌ট আইটি
222,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
227,Mitsamiouli,KM,88.09,few clouds,-11.3847,43.2844,Foyer ADM
228,Sao Jose Da Coroa Grande,BR,77.07,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
230,Sao Filipe,CV,77.41,overcast clouds,14.8961,-24.4956,Hotel Xaguate
233,Careiro Da Varzea,BR,81.21,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
239,Maumere,ID,85.66,moderate rain,-8.6199,122.2111,Sylvia Hotel
241,Lamu,KE,82.62,broken clouds,-2.2717,40.902,Lamu House
245,Marawi,PH,78.66,scattered clouds,7.9986,124.2928,Derogongan Residence
247,Faanui,PF,79.23,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
248,Auki,SB,84.65,few clouds,-8.7676,160.7034,Auki Motel
253,Road Town,VG,78.01,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
256,Banda Aceh,ID,81.19,light rain,5.5577,95.3222,Sulthan Hotel International
257,Saint-Pierre,RE,82.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
