City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Komagane,JP,35.7296,137.9396,68.34,57,36,6.42,scattered clouds
1,Severo-Kurilsk,RU,50.6789,156.125,36.36,66,97,23.71,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,40.66,81,40,9.22,scattered clouds
3,Pathein,MM,16.7833,94.7333,87.12,65,6,11.05,clear sky
4,East London,ZA,-33.0153,27.9116,64.92,95,100,9.06,moderate rain
5,Punta Arenas,CL,-53.15,-70.9167,41.11,81,20,9.22,few clouds
6,Hermanus,ZA,-34.4187,19.2345,64.9,70,36,4.29,light rain
7,Yellowknife,CA,62.456,-114.3525,24.42,100,90,6.91,light snow
8,Talcahuano,CL,-36.7167,-73.1167,53.28,87,0,8.05,clear sky
9,Mataura,NZ,-46.1927,168.8643,63.37,64,100,3.06,overcast clouds
10,Tuatapere,NZ,-46.1333,167.6833,62.1,66,100,3.71,overcast clouds
11,Barrow,US,71.2906,-156.7887,24.82,63,90,17.27,overcast clouds
12,Itarema,BR,-2.9248,-39.9167,77.54,86,89,6.91,overcast clouds
13,Half Moon Bay,US,37.4636,-122.4286,54.0,80,1,4.61,clear sky
14,Zhigansk,RU,66.7697,123.3711,7.38,94,100,26.17,light snow
15,Zapolyarnyy,RU,69.4154,30.8136,22.28,96,96,3.71,overcast clouds
16,Lorengau,PG,-2.0226,147.2712,84.61,68,28,11.52,scattered clouds
17,Bredasdorp,ZA,-34.5322,20.0403,60.28,72,73,3.44,broken clouds
18,Santa Rosa,PH,14.3122,121.1114,89.58,69,73,12.8,broken clouds
19,Bambous Virieux,MU,-20.3428,57.7575,82.22,73,75,12.66,broken clouds
20,San Patricio,US,28.017,-97.5169,70.83,75,1,5.97,clear sky
21,Vostok,RU,46.4856,135.8833,39.81,52,99,4.0,light rain
22,Korla,CN,41.7597,86.1469,34.72,20,0,6.35,clear sky
23,Arauca,CO,7.0847,-70.7591,73.18,88,96,4.43,overcast clouds
24,Colares,PT,38.7992,-9.4469,54.59,60,57,5.01,broken clouds
25,Cape Coral,US,26.5629,-81.9495,63.99,87,1,3.0,clear sky
26,Komsomolskiy,UZ,40.4272,71.7189,43.52,56,75,4.61,haze
27,Tasiilaq,GL,65.6145,-37.6368,17.33,72,100,3.96,overcast clouds
28,Upernavik,GL,72.7868,-56.1549,9.18,72,3,5.59,clear sky
29,Rikitea,PF,-23.1203,-134.9692,74.93,79,100,8.93,light rain
30,Makinsk,KZ,52.6292,70.4169,27.39,47,90,16.58,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,65.12,64,20,1.99,few clouds
32,Kaeo,NZ,-35.1,173.7833,68.32,76,43,3.02,scattered clouds
33,Kaitangata,NZ,-46.2817,169.8464,62.92,78,95,5.48,light rain
34,Altay,CN,47.8667,88.1167,27.93,51,0,1.05,clear sky
35,Gari,RU,59.4307,62.3497,34.05,79,56,11.54,broken clouds
36,Jieshi,CN,22.8134,115.8257,68.95,52,17,17.4,few clouds
37,Avarua,CK,-21.2078,-159.775,73.45,73,40,9.22,scattered clouds
38,Kodiak,US,57.79,-152.4072,31.96,86,98,12.01,overcast clouds
39,Hithadhoo,MV,-0.6,73.0833,82.96,67,95,15.01,overcast clouds
40,Jamestown,US,42.097,-79.2353,47.71,86,1,0.0,clear sky
41,Hilo,US,19.7297,-155.09,74.93,89,90,3.44,overcast clouds
42,Geraldton,AU,-28.7667,114.6,72.01,53,75,19.57,broken clouds
43,Neryungri,RU,56.6709,124.6491,15.69,75,35,7.4,scattered clouds
44,Abha,SA,18.2164,42.5053,61.05,36,0,0.0,clear sky
45,Bluff,NZ,-46.6,168.3333,57.56,80,94,11.59,overcast clouds
46,Qaanaaq,GL,77.484,-69.3632,1.81,69,58,7.45,broken clouds
47,Port Blair,IN,11.6667,92.75,83.75,76,100,11.45,overcast clouds
48,Vestmannaeyjar,IS,63.4427,-20.2734,44.98,83,92,28.95,overcast clouds
49,Port Alfred,ZA,-33.5906,26.891,63.28,91,100,7.65,moderate rain
50,Busselton,AU,-33.65,115.3333,71.1,52,27,12.55,scattered clouds
51,Arzgir,RU,45.3728,44.2206,52.11,75,65,8.39,broken clouds
52,Avera,US,33.194,-82.5271,51.67,55,0,6.53,clear sky
53,Georgetown,MY,5.4112,100.3354,87.75,70,20,3.0,few clouds
54,Saskylakh,RU,71.9167,114.0833,15.93,92,100,9.95,overcast clouds
55,Kapaa,US,22.0752,-159.319,75.52,74,20,16.11,few clouds
56,Norman Wells,CA,65.282,-126.8329,12.24,85,90,8.05,light snow
57,Kerman,IR,30.2832,57.0788,46.26,87,75,6.91,mist
58,Vila Velha,BR,-20.3297,-40.2925,70.95,87,90,2.3,overcast clouds
59,Coahuayana,MX,18.7333,-103.6833,75.09,90,100,3.94,overcast clouds
60,Port Macquarie,AU,-31.4333,152.9167,75.16,73,57,10.07,broken clouds
61,Laranjeiras Do Sul,BR,-25.4078,-52.4161,60.24,98,5,2.82,light rain
62,Dikson,RU,73.5069,80.5464,3.06,98,93,4.99,overcast clouds
63,Yagodnoye,RU,62.55,149.6667,1.47,98,100,3.11,overcast clouds
64,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,90,8.05,overcast clouds
65,Videbaek,DK,56.0876,8.6285,44.51,88,100,5.3,overcast clouds
66,Castro,BR,-24.7911,-50.0119,58.59,98,94,5.82,overcast clouds
67,Tomball,US,30.0972,-95.6161,57.07,90,1,0.0,clear sky
68,Ribeira Grande,PT,38.5167,-28.7,69.12,85,66,21.45,broken clouds
69,Fortuna,US,40.5982,-124.1573,44.94,68,1,3.44,clear sky
70,Mokhsogollokh,RU,61.4681,128.9203,19.44,85,99,5.64,overcast clouds
71,Chokurdakh,RU,70.6333,147.9167,-16.89,95,81,6.06,broken clouds
72,Carnarvon,AU,-24.8667,113.6333,75.27,46,40,19.57,scattered clouds
73,Summerville,US,33.0185,-80.1757,51.82,93,1,0.0,clear sky
74,Butaritari,KI,3.0707,172.7902,81.77,72,34,9.86,scattered clouds
75,Hobart,AU,-42.8794,147.3294,68.02,45,75,1.01,broken clouds
76,Palmer,US,42.1584,-72.3287,45.86,86,1,0.0,clear sky
77,Torbay,CA,47.6666,-52.7314,47.26,87,90,13.8,overcast clouds
78,Bocas Del Toro,PA,9.3333,-82.25,77.94,81,99,6.33,overcast clouds
79,Yar-Sale,RU,66.8333,70.8333,16.0,91,94,6.73,overcast clouds
80,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,8.05,light rain
