City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,Egvekinot,66.3167,-179.1667,1.26,79,13,1.1,RU,08/11/21 2:05
399,Aklavik,68.2191,-135.0107,2.57,96,87,4.23,CA,08/11/21 2:13
240,Qaanaaq,77.484,-69.3632,3.24,70,40,7.45,GL,08/11/21 2:09
345,Norman Wells,65.282,-126.8329,4.01,94,100,7.92,CA,08/11/21 2:12
483,Srednekolymsk,67.45,153.6833,4.33,95,100,6.71,RU,08/11/21 2:14
82,Pevek,69.7008,170.3133,5.88,92,100,6.38,RU,08/11/21 2:00
305,Ayagoz,47.9714,80.4392,7.25,88,13,4.34,KZ,08/11/21 2:11
257,Zhigansk,66.7697,123.3711,7.36,94,100,26.93,RU,08/11/21 2:09
177,Leningradskiy,69.3833,178.4167,7.66,83,42,9.71,RU,08/11/21 2:07
14,Dikson,73.5069,80.5464,9.32,95,100,1.05,RU,08/11/21 2:03
77,Iqaluit,63.7506,-68.5145,9.7,78,0,15.99,CA,08/11/21 2:04
11,Upernavik,72.7868,-56.1549,9.88,79,7,6.78,GL,08/11/21 2:00
523,Lavrentiya,65.5833,-171,10,81,6,6.89,RU,08/11/21 2:17
42,Tuktoyaktuk,69.4541,-133.0374,10.63,96,28,3.94,CA,08/11/21 2:03
224,Clyde River,70.4692,-68.5914,11.08,89,42,11.59,CA,08/11/21 2:08
26,Khatanga,71.9667,102.5,11.3,94,99,12.88,RU,08/11/21 2:03
80,Saskylakh,71.9167,114.0833,11.39,95,100,9.13,RU,08/11/21 2:00
81,Longyearbyen,78.2186,15.6401,12.04,79,75,6.91,SJ,08/11/21 1:59
503,Ilulissat,69.2167,-51.1,12.22,48,10,16.11,GL,08/11/21 2:16
20,Tiksi,71.6872,128.8694,13.26,78,100,22.66,RU,08/11/21 2:00
461,Dudinka,69.4058,86.1778,13.28,95,100,5.73,RU,08/11/21 2:12
516,Kemi,65.8596,24.8228,15.57,86,0,2.3,FI,08/11/21 2:17
417,Mokhsogollokh,61.4681,128.9203,15.91,85,100,5.53,RU,08/11/21 2:13
396,Aykhal,66,111.5,16.48,94,95,18.45,RU,08/11/21 2:13
451,Yerofey Pavlovich,53.9667,121.9667,17.37,57,0,2.13,RU,08/11/21 2:15
332,Udachnyy,66.4167,112.4,17.64,88,86,11.54,RU,08/11/21 2:12
574,Lulea,65.5842,22.1547,17.67,93,4,5.75,SE,08/11/21 2:19
223,Talnakh,69.4865,88.3972,17.8,96,100,7.16,RU,08/11/21 2:08
402,Kangaatsiaq,68.3065,-53.4641,17.92,89,100,9.01,GL,08/11/21 2:13
187,Verkh-Usugli,52.7,115.1667,17.94,63,42,2.13,RU,08/11/21 2:08
266,Paamiut,61.994,-49.6678,18.01,66,0,6.62,GL,08/11/21 2:07
353,Leh,34.1667,77.5833,18.01,61,0,4.12,IN,08/11/21 2:12
289,Erenhot,43.6475,111.9767,18.09,73,46,8.77,CN,08/11/21 2:07
89,Aksarka,66.5606,67.7975,18.25,94,100,7.16,RU,08/11/21 2:04
383,Haines Junction,60.7522,-137.5108,19.31,65,8,2.06,CA,08/11/21 2:13
83,Provideniya,64.3833,-173.3,19.51,63,20,4.47,RU,08/11/21 2:04
335,Tazovskiy,67.4667,78.7,20.05,95,100,9.73,RU,08/11/21 2:12
394,Yar-Sale,66.8333,70.8333,20.19,90,100,9.84,RU,08/11/21 2:13
521,Kysyl-Syr,63.8986,122.7617,20.61,95,100,9.71,RU,08/11/21 2:17
71,Baruun-Urt,46.6806,113.2792,21.4,54,7,5.21,MN,08/11/21 2:04
198,Yumen,40.2833,97.2,21.4,39,10,9.66,CN,08/11/21 2:08
21,Barrow,71.2906,-156.7887,21.6,80,100,9.55,US,08/11/21 2:00
221,Mujiayingzi,42.1167,118.7833,21.96,60,100,25.01,CN,08/11/21 2:08
288,Tilichiki,60.4667,166.1,22.17,96,100,7.63,RU,08/11/21 2:07
355,Verkhnyaya Inta,65.9811,60.3094,22.93,94,100,6.08,RU,08/11/21 2:12
319,Nome,64.5011,-165.4064,23.07,75,90,10.36,US,08/11/21 2:11
359,Chifeng,42.2683,118.9636,23.47,59,100,24.58,CN,08/11/21 2:12
422,Mnogovershinnyy,53.9353,139.9242,23.58,68,96,18.45,RU,08/11/21 2:14
413,Verkhnevilyuysk,63.4453,120.3167,23.9,94,100,9.44,RU,08/11/21 2:13
146,Ostrovnoy,68.0531,39.5131,23.97,87,99,12.86,RU,08/11/21 2:06
239,Nadym,65.5333,72.5167,24.13,94,100,12.93,RU,08/11/21 2:09
504,Mirnyy,62.5353,113.9611,24.6,92,100,9.75,RU,08/11/21 2:16
404,College,64.8569,-147.8028,24.75,90,90,0,US,08/11/21 2:13
222,Fairbanks,64.8378,-147.7164,24.76,90,90,1.01,US,08/11/21 2:06
552,Arman,59.7,150.1667,25.02,89,100,8.5,RU,08/11/21 2:17
385,Solnechnyy,50.7214,136.6319,25.09,53,100,3.67,RU,08/11/21 2:13
126,Nyurba,63.2842,118.3319,25.36,93,100,10.6,RU,08/11/21 2:05
556,Zhangye,38.9342,100.4517,25.57,39,0,1.01,CN,08/11/21 2:18
254,Belokurikha,51.9959,84.9896,26.38,74,57,6.46,RU,08/11/21 2:09
139,Tasiilaq,65.6145,-37.6368,26.76,76,100,6.46,GL,08/11/21 2:06
265,High Level,58.5169,-117.136,26.76,97,100,3.6,CA,08/11/21 2:08
505,Yerbogachen,61.2767,108.0108,26.92,94,100,11.72,RU,08/11/21 2:16
217,Hami,42.8,93.45,27.18,43,4,6.58,CN,08/11/21 2:08
317,Tigil,57.8,158.6667,27.19,84,50,16.13,RU,08/11/21 2:11
281,Mehamn,71.0357,27.8492,27.25,81,100,2.93,NO,08/11/21 2:10
57,Timra,62.487,17.3257,27.68,74,13,5.75,SE,08/11/21 2:03
435,Ordynskoye,54.3656,81.8994,27.86,74,100,16.04,RU,08/11/21 2:14
64,Yellowknife,62.456,-114.3525,28.42,99,100,7.09,CA,08/11/21 2:00
540,Tevriz,57.509,72.4042,28.42,94,100,11.99,RU,08/11/21 2:17
249,Vanavara,60.34,102.2797,28.58,90,100,12.15,RU,08/11/21 2:05
274,Itatskiy,56.07,89.0369,29.03,65,99,17.43,RU,08/11/21 2:09
354,Pankrushikha,53.8319,80.3406,29.88,55,100,16.33,RU,08/11/21 2:12
169,Katangli,51.7102,143.2326,30.04,45,1,14.79,RU,08/11/21 2:07
52,Narsaq,60.9167,-46.05,30.42,82,100,1.61,GL,08/11/21 2:04
449,Tatarsk,55.219,75.9828,30.47,57,100,18.68,RU,08/11/21 2:15
369,Bonnyville,54.2668,-110.735,30.51,60,11,7.47,CA,08/11/21 2:09
452,Tara,56.8944,74.371,30.54,59,87,16.84,RU,08/11/21 2:15
515,Shache,38.4167,77.2406,30.61,43,0,4.54,CN,08/11/21 2:16
90,Nanortalik,60.1432,-45.2371,30.65,61,100,2.51,GL,08/11/21 2:00
508,Qaqortoq,60.7167,-46.0333,30.7,84,100,2.73,GL,08/11/21 2:16
498,Baoding,38.8511,115.4903,30.83,72,0,6.35,CN,08/11/21 2:14
159,Emba,48.8264,58.1442,31.12,63,86,5.01,KZ,08/11/21 2:07
193,Vardo,70.3705,31.1107,31.24,61,98,17.4,NO,08/11/21 2:08
154,Kodiak,57.79,-152.4072,31.57,92,98,13.35,US,08/11/21 2:07
204,Kizema,61.113,44.8302,31.59,91,100,3.4,RU,08/11/21 2:08
271,Temir,49.1414,57.13,31.89,57,97,5.39,KZ,08/11/21 2:09
560,Shieli,44.1667,66.75,31.96,27,2,3.06,KZ,08/11/21 2:18
282,Nizhnevartovsk,60.9344,76.5531,32.02,100,75,11.18,RU,08/11/21 2:10
122,Homer,59.6425,-151.5483,32.07,88,20,3.44,US,08/11/21 2:05
174,Agirish,61.9247,63.0231,32.23,94,100,10.09,RU,08/11/21 2:07
129,Jidong,45.2167,131.0833,32.45,68,100,10.42,CN,08/11/21 2:05
439,Novoagansk,61.9449,76.6625,32.5,98,100,12.44,RU,08/11/21 2:15
